Shot 3: Jarak=1.99, Desnivel=-0.35, Fator=149, Wind=22, Sudut=60.0, Power=1.38
Shot 4: Jarak=1.99, Desnivel=-0.35, Fator=149, Wind=22, Sudut=60.0, Power=1.38
Shot 5: Jarak=1.70, Desnivel=-0.23, Fator=203, Wind=2, Sudut=80.0, Power=1.82
Shot 1: Jarak=6.95, Desnivel=0.39, Fator=326, Wind=15, Sudut=60.0, Power=2.15
Shot 2: Jarak=6.95, Desnivel=0.39, Fator=326, Wind=15, Sudut=70.0, Power=2.37
Shot 3: Jarak=6.95, Desnivel=0.39, Fator=79, Wind=26, Sudut=70.0, Power=2.07
Shot 4: Jarak=6.73, Desnivel=-0.19, Fator=79, Wind=25, Sudut=70.0, Power=2.02
Shot 5: Jarak=6.70, Desnivel=-0.62, Fator=79, Wind=25, Sudut=70.0, Power=1.98
Shot 1: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=60.0, Power=2.65
Shot 2: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=60.0, Power=2.65
Shot 3: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=60.0, Power=2.65
Shot 4: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=60.0, Power=2.65
Shot 5: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=60.0, Power=2.65
Shot 6: Jarak=14.29, Desnivel=-0.12, Fator=67, Wind=20, Sudut=70.0, Power=2.96
Shot 7: Jarak=13.91, Desnivel=0.03, Fator=67, Wind=21, Sudut=70.0, Power=2.90
Shot 8: Jarak=13.81, Desnivel=-0.14, Fator=147, Wind=8, Sudut=70.0, Power=3.92
Shot 9: Jarak=13.81, Desnivel=-0.14, Fator=147, Wind=8, Sudut=70.0, Power=3.92
Shot 10: Jarak=13.81, Desnivel=-0.14, Fator=147, Wind=8, Sudut=65.0, Power=3.50
Shot 11: Jarak=13.81, Desnivel=-0.22, Fator=147, Wind=7, Sudut=65.0, Power=3.47
Shot 12: Jarak=13.79, Desnivel=-0.32, Fator=147, Wind=8, Sudut=65.0, Power=3.49
Shot 13: Jarak=13.76, Desnivel=-0.42, Fator=147, Wind=9, Sudut=65.0, Power=3.52
Shot 14: Jarak=13.79, Desnivel=-0.39, Fator=147, Wind=8, Sudut=65.0, Power=3.49
Shot 1: Jarak=8.25, Desnivel=-1.46, Fator=275, Wind=2, Sudut=60.0, Power=2.31
Shot 2: Jarak=8.25, Desnivel=-1.46, Fator=275, Wind=2, Sudut=70.0, Power=2.73
Shot 3: Jarak=8.19, Desnivel=-1.56, Fator=275, Wind=2, Sudut=70.0, Power=2.71
Shot 4: Jarak=9.42, Desnivel=2.59, Fator=161, Wind=11, Sudut=70.0, Power=3.56
Shot 5: Jarak=9.42, Desnivel=2.59, Fator=161, Wind=11, Sudut=65.0, Power=3.18
Shot 6: Jarak=9.42, Desnivel=2.59, Fator=161, Wind=11, Sudut=65.0, Power=3.18
Shot 7: Jarak=9.56, Desnivel=2.38, Fator=204, Wind=17, Sudut=65.0, Power=3.50
Shot 8: Jarak=9.56, Desnivel=2.38, Fator=204, Wind=17, Sudut=60.0, Power=3.21
Shot 9: Jarak=9.67, Desnivel=2.16, Fator=204, Wind=16, Sudut=60.0, Power=3.19
Shot 10: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=60.0, Power=3.19
Shot 11: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=60.0, Power=3.19
Shot 12: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=60.0, Power=3.19
Shot 13: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 14: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 15: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 16: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 17: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 18: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 19: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 20: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 21: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 22: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 23: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=61.0, Power=3.22
Shot 24: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 25: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 26: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 27: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 28: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 29: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 30: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
Shot 31: Jarak=14.86, Desnivel=-0.26, Fator=354, Wind=1, Sudut=62.0, Power=3.26
